Link Page,Items,Price,Discount,Sale Price
https://www.modanisa.com/en/mink-modest-dress-allday-8813921.html,Allday - Mink - Modest Dress - ALLDAY,$ 118.99,35%,$ 77.34
https://www.modanisa.com/en/red-knit-dresses-instyle-8931221.html,Instyle - Red - Knit Dresses - InStyle,$ 46.99,,$ 39.99
https://www.modanisa.com/en/black-knit-dresses-instyle-8931227.html,Instyle - Black - Knit Dresses - InStyle,$ 46.99,,$ 39.99
https://www.modanisa.com/en/ecru-knit-dresses-instyle-8966268.html,Instyle - Ecru - Knit Dresses - InStyle,$ 46.99,,$ 39.99
https://www.modanisa.com/en/saxe-blue-knit-dresses-instyle-8931224.html,Instyle - Saxe Blue - Knit Dresses - InStyle,$ 46.99,,$ 39.99
https://www.modanisa.com/en/black-unlined-crew-neck-knit-dresses-benin-8737598.html,Benin - Black - Unlined - Crew neck - Knit Dresses - Benin,$ 49.99,20%,$ 39.99
https://www.modanisa.com/en/brick-red-knit-dresses-instyle-8966267.html,Instyle - Brick Red - Knit Dresses - InStyle,$ 46.99,,$ 39.99
https://www.modanisa.com/en/beige-modest-dress-sevitli-8829233.html,Sevitli - Beige - Modest Dress - Sevitli,$ 117.99,35%,$ 76.69
https://www.modanisa.com/en/navy-blue-knit-dresses-benin-8778470.html,Benin - Navy Blue - Knit Dresses - Benin,$ 59.99,,$ 49.99
https://www.modanisa.com/en/powder-pink-modest-dress-sevitli-8829230.html,Sevitli - Powder Pink - Modest Dress - Sevitli,$ 117.99,35%,$ 76.69
https://www.modanisa.com/en/navy-blue-modest-dress-sevitli-8829229.html,Sevitli - Navy Blue - Modest Dress - Sevitli,$ 117.99,35%,$ 76.69
https://www.modanisa.com/en/black-modest-dress-sevitli-8832442.html,Sevitli - Black - Modest Dress - Sevitli,$ 117.99,35%,$ 76.69
https://www.modanisa.com/en/mint-green-modest-dress-sevitli-8829234.html,Sevitli - Mint Green - Modest Dress - Sevitli,$ 117.99,35%,$ 76.69
https://www.modanisa.com/en/mink-modest-dress-sevitli-8829231.html,Sevitli - Mink - Modest Dress - Sevitli,$ 117.99,35%,$ 76.69
https://www.modanisa.com/en/light-blue-modest-dress-hafsa-mina-8706460.html,Hafsa mina - Light Blue - Modest Dress - Hafsa Mina,$ 116.99,35%,$ 76.04
https://www.modanisa.com/en/bitter-chocolate-modest-dress-ceylan-otantik-8858701.html,Ceylan otantik - Bitter Chocolate - Modest Dress - Ceylan Otantik,$ 116.99,35%,$ 76.04
https://www.modanisa.com/en/dark-blue-modest-dress-hafsa-mina-8706449.html,Hafsa mina - Dark Blue - Modest Dress - Hafsa Mina,$ 116.99,35%,$ 76.04
https://www.modanisa.com/en/black-modest-dress-ceylan-otantik-8858702.html,Ceylan otantik - Black - Modest Dress - Ceylan Otantik,$ 116.99,35%,$ 76.04
https://www.modanisa.com/en/anthracite-modest-dress-ceylan-otantik-8858704.html,Ceylan otantik - Anthracite - Modest Dress - Ceylan Otantik,$ 116.99,35%,$ 76.04
https://www.modanisa.com/en/red-crew-neck-unlined-modest-dress-ceylan-otantik-8690976.html,Ceylan otantik - Red - Crew neck - Unlined - Modest Dress - Ceylan Otantik,$ 89.99,,$ 75.99
https://www.modanisa.com/en/fuchsia-boat-neck-modest-dress-lafaba-8919367.html,Lafaba - Fuchsia - Boat neck - Modest Dress - LAFABA,$ 110.99,35%,$ 72.14
https://www.modanisa.com/en/black-boat-neck-modest-dress-lafaba-8925744.html,Lafaba - Black - Boat neck - Modest Dress - LAFABA,$ 110.99,35%,$ 72.14
https://www.modanisa.com/en/pistachio-green-boat-neck-modest-dress-lafaba-8924991.html,Lafaba - Pistachio Green - Boat neck - Modest Dress - LAFABA,$ 110.99,35%,$ 72.14
