Item,Price,ImageURL
"Dell Precision Rack R7910 19"" 2U Workstation Server 8x SFF 2x Intel XEON E5-2600 v3 v4 DDR4 ECC Raid 2x PSU -CTO-","Price excl. VAT:269,75 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-precision-rack-r7910-19-2u-workstation-server-8x-sff-2x-intel-xeon-e5-2600-v3-v4-2x-psu-cto-.jpg
"Dell PowerEdge R640 19"" 1U Server 4x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC PERC Raid 2x PSU","Price excl. VAT:413,45 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r640-19-1u-server-4x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-perc-raid-2x-psu.jpg
"Dell 19"" 1U PowerEdge R440 8x 2,5"" SFF 2x Intel XEON Scalable LGA3647 Server PERC SAS SATA Raid vmware Rack Server 2x HotSwap PSU","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-19-1u-poweredge-r440-8x-25-sff-2x-intel-xeon-scalable-lga3647-server-perc-sas-sata-raid-vmware-rack-server-2x-hotswap-psu.jpg
Dell M630 Blade Server 2x Intel Xeon E5-2600 v3 v4 DDR4 ECC Raid* 10GbE* VRTX or M1000e,"Price excl. VAT:41,18 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-m630-blade-server-2x-intel-xeon-e5-2600-v3-v4-ddr4-ecc-raid-10gbe-cto-.jpg
"Dell PowerEdge R740xd 19"" 2U 12x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740xd-19-2u-12x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server-13134.jpg
Dell Precision Tower T7820 Performance Workstation 2x Intel XEON Scalable LGA3647 DDR4 PCIe x16 -CTO-,"Price excl. VAT:269,75 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-precision-tower-t7820-workstation-server-2x-intel-xeon-scalable-lga3647-ddr4-pcie-x16-cto-.jpg
"Dell PowerEdge R320 19"" 1U 8x 2,5"" SFF Intel XEON E5-2400 v1 / v2 PERC SAS SATA Raid HotSwap PSU vmware  Server -CTO-","Price excl. VAT:74,79 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r320-19-1u-8x-25-sff-intel-xeon-e5-2400-v1-v2-perc-sas-sata-raid-hotswap-psu-vmware-storage-server-cto-.jpg
"Dell PowerEdge R720 19"" 2U Server 12x 3,5"" LFF 2x Intel XEON E5-2600 v1 v2 PERC 6G SAS SATA Raid 2x PSU vmware Storage","Price excl. VAT:185,71 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r720-19-2u-server-12x-35-lff-2x-intel-xeon-e5-2600-v1-v2-perc-6g-sas-sata-raid-2x-psu-vmware-storage-cto-.jpg
"Dell PowerEdge R740xd 19"" 2U 12/24x 2,5"" SAS / 12x U.2 NVMe 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:1.413,45 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740xd-19-2u-24x-25-u2-nvme-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server-14188.jpg
"Dell 19"" 1U PowerEdge R440 4x 3,5"" LFF 2x Intel XEON Scalable LGA3647 Server PERC SAS SATA Raid vmware Rack Server 2x HotSwap PSU","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-19-1u-poweredge-r440-4x-35-lff-2x-intel-xeon-scalable-lga3647-server-perc-sas-sata-raid-vmware-rack-server-2x-hotswap-psu.jpg
"Dell PowerEdge R740xd 19"" 2U 18x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:724,37 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740xd-19-2u-18x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R440 19"" 1U Server 10x 2,5"" SFF SAS 4x U.2 NVMe 2x Intel XEON Scalable LGA3647 DDR4 ECC PERC Raid 2x PSU","Price excl. VAT:741,18 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r440-19-1u-server-10x-25-sff-sas-4x-u2-nvme-2x-intel-xeon-scalable-lga3647-ddr4-ecc-perc-raid-2x-psu.jpg
"Dell PowerEdge T640 8x 3,5"" LFF 2x Intel XEON Scalable LGA3647 Server PERC SAS SATA Raid vmware Tower Server 2x HotSwap PSU","Price excl. VAT:942,02 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-t640-8x-35-lff-2x-intel-xeon-scalable-lga3647-server-perc-sas-sata-raid-vmware-tower-server-2x-hotswap-psu-16092.jpg
